No.,Ciudad,Gasolina MC ($/gal),ACPM ($/gal),fecha
1,Bogotá,16.085,10.725,01-01-2025
2,Medellín,16.009,10.748,01-01-2025
3,Cali,16.097,10.867,01-01-2025
4,Barranquilla,15.732,10.410,01-01-2025
5,Cartagena,15.690,10.376,01-01-2025
6,Montería,15.940,10.626,01-01-2025
7,Bucaramanga,15.848,10.481,01-01-2025
8,Villavicencio,16.185,10.825,01-01-2025
9,Pereira,16.036,10.808,01-01-2025
10,Manizales,16.061,10.794,01-01-2025
11,Ibagué,16.005,10.717,01-01-2025
12,Pasto,13.773,9.717,01-01-2025
13,Cúcuta,14.091,8.410,01-01-2025
14,Santa Marta,15.832,10.510,01-01-2025
15,Sincelejo,15.809,10.576,01-01-2025
16,Tunja,16.219,10.859,01-01-2025
17,Armenia,16.048,10.820,01-01-2025
18,Neiva,16.109,10.818,01-01-2025
