No.,Ciudad,Gasolina MC ($/gal),ACPM ($/gal),fecha
1,Bogotá D.C.,14973,9357,04-11-2023
2,Medellín,14906,9372,04-11-2023
3,Cali,14997,9484,04-11-2023
4,Barranquilla,14644,9060,04-11-2023
5,Cartagena,14603,9028,04-11-2023
6,Montería,14853,9278,04-11-2023
7,Bucaramanga,14734,9125,04-11-2023
8,Villavicencio,15073,9457,04-11-2023
9,Pereira,14941,9429,04-11-2023
10,Manizales,14957,9417,04-11-2023
11,Ibagué,14908,9348,04-11-2023
12,Pasto,12716,8396,04-11-2023
13,Cúcuta,13025,7089,04-11-2023
14,Santa Marta,14744,9160,04-11-2023
15,Sincelejo,14803,9228,04-11-2023
16,Tunja,15107,9491,04-11-2023
17,Armenia,14953,9441,04-11-2023
18,Neiva,15002,9441,04-11-2023
