No.,Ciudad,Gasolina MC ($/gal),ACPM ($/gal),fecha
1,Bogotá D.C.,14373,9357,07-10-2023
2,Medellín,14306,9372,07-10-2023
3,Cali,14397,9484,07-10-2023
4,Barranquilla,14044,9060,07-10-2023
5,Cartagena,14003,9028,07-10-2023
6,Montería,14253,9278,07-10-2023
7,Bucaramanga,14134,9125,07-10-2023
8,Villavicencio,14473,9457,07-10-2023
9,Pereira,14340,9429,07-10-2023
10,Manizales,14357,9417,07-10-2023
11,Ibagué,14308,9348,07-10-2023
12,Pasto,12116,8396,07-10-2023
13,Cúcuta,12425,7089,07-10-2023
14,Santa Marta,14144,9160,07-10-2023
15,Sincelejo,14203,9228,07-10-2023
16,Tunja,14507,9491,07-10-2023
17,Armenia,14352,9441,07-10-2023
18,Neiva,14402,9441,07-10-2023
