No.,Ciudad,Gasolina MC ($/gal),ACPM ($/gal),fecha
1,Bogotá,15.993,11.664,31-08-2024
2,Medellín,15.918,11.684,31-08-2024
3,Cali,16.003,11.800,31-08-2024
4,Barranquilla,15.649,11.358,31-08-2024
5,Cartagena,15.608,11.325,31-08-2024
6,Montería,15.858,11.575,31-08-2024
7,Bucaramanga,15.763,11.426,31-08-2024
8,Villavicencio,16.093,11.764,31-08-2024
9,Pereira,15.943,11.743,31-08-2024
10,Manizales,15.969,11.729,31-08-2024
11,Ibagué,15.914,11.655,31-08-2024
12,Pasto,13.725,10.656,31-08-2024
13,Cúcuta,14.052,9.349,31-08-2024
14,Santa Marta,15.749,11.458,31-08-2024
15,Sincelejo,15.808,11.525,31-08-2024
16,Tunja,16.127,11.798,31-08-2024
17,Armenia,15.955,11.755,31-08-2024
18,Neiva,16.015,11.753,31-08-2024
