No.,Ciudad,Gasolina MC ($/gal),ACPM ($/gal),fecha
1,Bogotá,15.985,9.756,03-08-2024
2,Medellín,15.910,9.777,03-08-2024
3,Cali,15.995,9.892,03-08-2024
4,Barranquilla,15.641,9.450,03-08-2024
5,Santa Marta,15.741,9.550,03-08-2024
6,Cartagena,15.600,9.417,03-08-2024
7,Montería,15.850,9.667,03-08-2024
8,Sincelejo,15.800,9.617,03-08-2024
9,Bucaramanga,15.756,9.519,03-08-2024
10,Villavicencio,16.085,9.856,03-08-2024
11,Tunja,16.119,9.890,03-08-2024
12,Pereira,15.935,9.835,03-08-2024
13,Manizales,15.961,9.822,03-08-2024
14,Armenia,15.947,9.847,03-08-2024
15,Ibagué,15.906,9.748,03-08-2024
16,Neiva,16.007,9.846,03-08-2024
17,Pasto,13.717,8.748,03-08-2024
18,Cúcuta,14.044,7.441,03-08-2024
