No.,Ciudad,Gasolina MC ($/gal),ACPM ($/gal),fecha
1,Bogotá,15.993,10.156,07-09-2024
2,Medellín,15.918,10.177,07-09-2024
3,Cali,16.003,10.292,07-09-2024
4,Barranquilla,15.649,9.850,07-09-2024
5,Cartagena,15.608,9.817,07-09-2024
6,Montería,15.858,10.067,07-09-2024
7,Bucaramanga,15.763,9.919,07-09-2024
8,Villavicencio,16.093,10.256,07-09-2024
9,Pereira,15.943,10.235,07-09-2024
10,Manizales,15.969,10.222,07-09-2024
11,Ibagué,15.914,10.148,07-09-2024
12,Pasto,13.725,9.148,07-09-2024
13,Cúcuta,14.052,7.841,07-09-2024
14,Santa Marta,15.749,9.950,07-09-2024
15,Sincelejo,15.808,10.017,07-09-2024
16,Tunja,16.127,10.290,07-09-2024
17,Armenia,15.955,10.247,07-09-2024
18,Neiva,16.015,10.246,07-09-2024
