No.,Ciudad,Gasolina MC ($/gal),ACPM ($/gal),fecha
1,Bogotá,15.906,9.659,26-06-2024
2,Medellín,15.831,9.679,26-06-2024
3,Cali,15.916,9.794,26-06-2024
4,Barranquilla,15.562,9.353,26-06-2024
5,Santa Marta,15.662,9.453,26-06-2024
6,Cartagena,15.521,9.319,26-06-2024
7,Montería,15.771,9.569,26-06-2024
8,Sincelejo,15.721,9.519,26-06-2024
9,Bucaramanga,15.677,9.421,26-06-2024
10,Villavicencio,16.006,9.759,26-06-2024
11,Tunja,16.040,9.793,26-06-2024
12,Pereira,15.856,9.737,26-06-2024
13,Manizales,15.882,9.724,26-06-2024
14,Armenia,15.868,9.749,26-06-2024
15,Ibagué,15.827,9.650,26-06-2024
16,Neiva,15.928,9.748,26-06-2024
17,Pasto,13.638,8.650,26-06-2024
18,Cúcuta,13.965,7.344,26-06-2024
