No.,Ciudad,Gasolina MC ($/gal),ACPM ($/gal),fecha
1,Bogotá,16.259,10.842,22-03-2025
2,Medellín,16.182,10.864,22-03-2025
3,Cali,16.268,10.983,22-03-2025
4,Barranquilla,15.904,10.527,22-03-2025
5,Cartagena,15.862,10.493,22-03-2025
6,Montería,16.112,10.743,22-03-2025
7,Bucaramanga,16.023,10.597,22-03-2025
8,Villavicencio,16.359,10.942,22-03-2025
9,Pereira,16.207,10.925,22-03-2025
10,Manizales,16.234,10.911,22-03-2025
11,Ibagué,16.177,10.833,22-03-2025
12,Pasto,13.921,9.809,22-03-2025
13,Cúcuta,14.240,8.503,22-03-2025
