No.,Ciudad,Gasolina MC ($/gal),ACPM ($/gal),fecha
1,Bogotá D.C.,15861,9614,13-04-2024
2,Medellín,15787,9634,13-04-2024
3,Cali,15871,9749,13-04-2024
4,Barranquilla,15517,9308,13-04-2024
5,Santa Marta,15617,9408,13-04-2024
6,Cartagena,15477,9274,13-04-2024
7,Montería,15727,9524,13-04-2024
8,Sincelejo,15677,9474,13-04-2024
9,Bucaramanga,15632,9376,13-04-2024
10,Villavicencio,15961,9714,13-04-2024
11,Tunja,15995,9748,13-04-2024
12,Pereira,15812,9692,13-04-2024
13,Manizalez,15837,9679,13-04-2024
14,Armenia,15824,9704,13-04-2024
15,Ibagué,15783,9605,13-04-2024
16,Neiva,15883,9703,13-04-2024
17,Pasto,13601,8613,13-04-2024
18,Cúcuta,13928,7307,13-04-2024
