No.,Ciudad,Gasolina MC ($/gal),ACPM ($/gal),fecha
1,Bogotá D.C.,9923,9302,01-11-2022
2,Cartagena,9568,9982,01-11-2022
3,Barranquilla,9608,9014,01-11-2022
4,Medellín,9864,9311,01-11-2022
5,Cali,9962,9419,01-11-2022
6,Pasto,8413,8371,01-11-2022
7,Santa Marta,9708,9114,01-11-2022
8,Montería,9818,9232,01-11-2022
9,Sincelejo,9768,9182,01-11-2022
10,Bucaramanga,9677,9076,01-11-2022
11,Villavicencio,10023,9402,01-11-2022
12,Tunja,10057,9436,01-11-2022
13,Pereira,9907,9366,01-11-2022
14,Manizales,9916,9355,01-11-2022
15,Armenia,9919,9378,01-11-2022
16,Ibagué,9872,9291,01-11-2022
17,Neiva,9960,9380,01-11-2022
18,Cúcuta,7976,7024,01-11-2022
