No.,Ciudad,Gasolina MC ($/gal),ACPM ($/gal),fecha
1,Bogotá D.C.,10773,9357,01-02-2023
2,Cartagena,10407,9028,01-02-2023
3,Barranquilla,10449,9060,01-02-2023
4,Medellín,10712,9372,01-02-2023
5,Cali,10813,9484,01-02-2023
6,Pasto,8916,8396,01-02-2023
7,Santa Marta,10549,9160,01-02-2023
8,Montería,10657,9278,01-02-2023
9,Sincelejo,10607,9228,01-02-2023
10,Bucaramanga,10519,9125,01-02-2023
11,Villavicencio,10873,9457,01-02-2023
12,Tunja,10907,9491,01-02-2023
13,Pereira,10756,9429,01-02-2023
14,Manizales,10765,9417,01-02-2023
15,Armenia,10768,9441,01-02-2023
16,Ibagué,10720,9348,01-02-2023
17,Neiva,10810,9441,01-02-2023
18,Cúcuta,8825,7089,01-02-2023
