No.,Ciudad,Gasolina MC ($/gal),ACPM ($/gal),fecha
1,Bogotá D.C.,11573,9357,01-04-2023
2,Medellín,11511,9372,01-04-2023
3,Cali,11611,9484,01-04-2023
4,Barranquilla,11247,9060,01-04-2023
5,Cartagena,11205,9028,01-04-2023
6,Montería,11455,9278,01-04-2023
7,Bucaramanga,11320,9125,01-04-2023
8,Villavicencio,11673,9457,01-04-2023
9,Pereira,11554,9429,01-04-2023
10,Manizales,11564,9417,01-04-2023
11,Ibagué,11518,9348,01-04-2023
12,Pasto,9316,8396,01-04-2023
13,Cúcuta,9625,7089,01-04-2023
14,Santa Marta,11347,9160,01-04-2023
15,Sincelejo,11405,9228,01-04-2023
16,Armenia,11566,9441,01-04-2023
17,Neiva,11609,9441,01-04-2023
18,Tunja,11707,9491,01-04-2023
