No.,Ciudad,Gasolina MC ($/gal),ACPM ($/gal),fecha
1,Bogotá D.C.,14373,9357,02-09-2023
2,Medellín,14306,9372,02-09-2023
3,Cali,14397,9484,02-09-2023
4,Barranquilla,14044,9060,02-09-2023
5,Cartagena,14003,9028,02-09-2023
6,Montería,14253,9278,02-09-2023
7,Bucaramanga,14134,9125,02-09-2023
8,Villavicencio,14473,9457,02-09-2023
9,Pereira,14340,9429,02-09-2023
10,Manizales,14357,9417,02-09-2023
11,Ibagué,14308,9348,02-09-2023
12,Pasto,12116,8396,02-09-2023
13,Cúcuta,12425,7089,02-09-2023
14,Santa Marta,14144,9160,02-09-2023
15,Sincelejo,14203,9228,02-09-2023
16,Tunja,14507,9491,02-09-2023
17,Armenia,14352,9441,02-09-2023
18,Neiva,14402,9441,02-09-2023
