No.,Ciudad,Gasolina MC ($/gal),ACPM ($/gal),fecha
1,Bogotá,16.184,10.767,01-02-2025
2,Medellín,16.108,10.789,01-02-2025
3,Cali,16.195,10.908,01-02-2025
4,Barranquilla,15.831,10.452,01-02-2025
5,Cartagena,15.789,10.418,01-02-2025
6,Montería,16.039,10.668,01-02-2025
7,Bucaramanga,15.947,10.523,01-02-2025
8,Villavicencio,16.284,10.867,01-02-2025
9,Pereira,16.134,10.850,01-02-2025
10,Manizales,16.160,10.836,01-02-2025
11,Ibagué,16.104,10.758,01-02-2025
12,Pasto,13.846,9.734,01-02-2025
13,Cúcuta,14.165,8.428,01-02-2025
14,Santa Marta,15.931,10.552,01-02-2025
15,Sincelejo,15.989,10.618,01-02-2025
16,Tunja,16.318,10.901,01-02-2025
17,Armenia,16.146,10.862,01-02-2025
18,Neiva,16.207,10.860,01-02-2025
