No.,Ciudad,Gasolina MC ($/gal),ACPM ($/gal),fecha
1,Bogotá,15.994,10.556,01-12-2024
2,Medellín,15.919,10.561,01-12-2024
3,Cali,16.004,10.677,01-12-2024
4,Barranquilla,15.649,10.244,01-12-2024
5,Cartagena,15.609,10.208,01-12-2024
6,Montería,15.859,10.458,01-12-2024
7,Bucaramanga,15.764,10.309,01-12-2024
8,Villavicencio,16.094,10.656,01-12-2024
9,Pereira,15.944,10.619,01-12-2024
10,Manizales,15.969,10.609,01-12-2024
11,Ibagué,15.915,10.541,01-12-2024
12,Pasto,13.726,9.548,01-12-2024
13,Cúcuta,14.053,8.241,01-12-2024
14,Santa Marta,15.749,10.344,01-12-2024
15,Sincelejo,15.809,10.408,01-12-2024
16,Tunja,16.128,10.690,01-12-2024
17,Armenia,15.956,10.631,01-12-2024
18,Neiva,16.016,10.637,01-12-2024
