No.,Ciudad,Gasolina MC ($/gal),ACPM ($/gal),fecha
1,Bogotá D.C.,10523,9357,01-01-2023
2,Cartagena,10156,9028,01-01-2023
3,Barranquilla,10198,9060,01-01-2023
4,Medellín,10460,9372,01-01-2023
5,Cali,10559,9484,01-01-2023
6,Pasto,8916,8396,01-01-2023
7,Santa Marta,10298,9160,01-01-2023
8,Montería,10406,9278,01-01-2023
9,Sincelejo,10356,9228,01-01-2023
10,Bucaramanga,10273,9125,01-01-2023
11,Villavicencio,10623,9457,01-01-2023
12,Tunja,10657,9491,01-01-2023
13,Pereira,10502,9426,01-01-2023
14,Manizales,10513,9417,01-01-2023
15,Armenia,10514,9441,01-01-2023
16,Ibagué,10467,9348,01-01-2023
17,Neiva,10558,9441,01-01-2023
18,Cúcuta,8575,7089,01-01-2023
