No.,Ciudad,Gasolina MC ($/gal),ACPM ($/gal),fecha
1,Bogotá D.C.,13973,9357,05-08-2023
2,Medellín,13906,9372,05-08-2023
3,Cali,13997,9484,05-08-2023
4,Barranquilla,13644,9060,05-08-2023
5,Cartagena,13603,9028,05-08-2023
6,Montería,13853,9278,05-08-2023
7,Bucaramanga,13734,9125,05-08-2023
8,Villavicencio,14073,9457,05-08-2023
9,Pereira,13941,9429,05-08-2023
10,Manizales,13957,9417,05-08-2023
11,Ibagué,13908,9348,05-08-2023
12,Pasto,11716,8396,05-08-2023
13,Cúcuta,12025,7089,05-08-2023
14,Santa Marta,13744,9160,05-08-2023
15,Sincelejo,13803,9228,05-08-2023
16,Tunja,14107,9491,05-08-2023
17,Armenia,13952,9441,05-08-2023
18,Neiva,14002,9441,05-08-2023
