No.,Ciudad,Gasolina MC ($/gal),ACPM ($/gal),fecha
1,Bogotá,9.723,9.302,01-10-2022
2,Medellín,9.664,9.311,01-10-2022
3,Cali,9.762,9.419,01-10-2022
4,Barranquilla,9.408,9.014,01-10-2022
5,Cartagena,9.368,8.982,01-10-2022
6,Montería,9.618,9.232,01-10-2022
7,Bucaramanga,9.477,9.076,01-10-2022
8,Villavicencio,9.823,9.402,01-10-2022
9,Pereira,9.707,9.366,01-10-2022
10,Manizales,9.716,9.355,01-10-2022
11,Ibagué,9.672,9.291,01-10-2022
12,Pasto,8.222,8.457,01-10-2022
13,Cúcuta,7.776,7.024,01-10-2022
14,Manizales,9716,9355,01-10-2022
15,Armenia,9719,9378,01-10-2022
16,Ibagué,9672,9291,01-10-2022
17,Neiva,9760,9380,01-10-2022
18,Cúcuta,7776,7024,01-10-2022
