No.,Ciudad,Gasolina MC ($/gal),ACPM ($/gal),fecha
1,Bogotá D.C.,13373,9357,01-07-2023
2,Medellín,13306,9372,01-07-2023
3,Cali,13397,9484,01-07-2023
4,Barranquilla,13044,9060,01-07-2023
5,Cartagena,13003,9028,01-07-2023
6,Montería,13253,9278,01-07-2023
7,Bucaramanga,13134,9125,01-07-2023
8,Villavicencio,13473,9457,01-07-2023
9,Pereira,13340,9429,01-07-2023
10,Manizales,13357,9417,01-07-2023
11,Ibagué,13308,9348,01-07-2023
12,Pasto,11116,8396,01-07-2023
13,Cúcuta,11425,7089,01-07-2023
14,Santa Marta,13144,9160,01-07-2023
15,Sincelejo,13203,9228,01-07-2023
16,Tunja,13507,9491,01-07-2023
17,Armenia,13352,9441,01-07-2023
18,Neiva,13402,9441,01-07-2023
