No.,Ciudad,Gasolina MC ($/gal),ACPM ($/gal),fecha
1,Bogotá D.C.,12773,9357,03-06-2023
2,Medellín,12706,9372,03-06-2023
3,Cali,12797,9484,03-06-2023
4,Barranquilla,12444,9060,03-06-2023
5,Cartagena,12403,9028,03-06-2023
6,Montería,12653,9278,03-06-2023
7,Bucaramanga,12534,9125,03-06-2023
8,Villavicencio,12873,9457,03-06-2023
9,Pereira,12740,9429,03-06-2023
10,Manizales,12757,9417,03-06-2023
11,Ibagué,12708,9348,03-06-2023
12,Pasto,10516,8396,03-06-2023
13,Cúcuta,10825,7089,03-06-2023
14,Santa Marta,12544,9160,03-06-2023
15,Sincelejo,12603,9228,03-06-2023
16,Tunja,12907,9491,03-06-2023
17,Armenia,12752,9441,03-06-2023
18,Neiva,12802,9441,03-06-2023
