No.,Ciudad,Gasolina MC ($/gal),ACPM ($/gal),fecha
1,Bogotá,9.372,9.152,12-03-2022
2,Medellín,9.310,9.161,12-03-2022
3,Cali,9.403,9.269,12-03-2022
4,Barranquilla,9.056,8.864,12-03-2022
5,Santa Marta,9.156,8.964,12-03-2022
6,Cartagena,9.016,8.882,12-03-2022
7,Montería,9.266,9.082,12-03-2022
8,Sincelejo,9.216,9.032,12-03-2022
9,Bucaramanga,9.135,8.926,12-03-2022
10,Villavicencio,9.472,9.252,12-03-2022
11,Tunja,9.506,9.286,12-03-2022
12,Pereira,9.348,9.216,12-03-2022
13,Manizales,9.360,9.205,12-03-2022
14,Armenia,9.360,9.228,12-03-2022
15,Ibagué,9.315,9.141,12-03-2022
16,Neiva,9.404,9.230,12-03-2022
17,Pasto,7.917,8.307,12-03-2022
