No.,Ciudad,Gasolina MC ($/gal),ACPM ($/gal),fecha
1,Bogotá,9.523,9.302,01-07-2022
2,Medellín,9.464,9.311,01-07-2022
3,Cali,9.562,9.419,01-07-2022
4,Barranquilla,9.208,9.014,01-07-2022
5,Cartagena,9.168,8.982,01-07-2022
6,Montería,9.418,9.232,01-07-2022
7,Bucaramanga,9.277,9.076,01-07-2022
8,Villavicencio,9.623,9.402,01-07-2022
9,Pereira,9.507,9.366,01-07-2022
10,Manizales,9.516,9.355,01-07-2022
11,Ibagué,9.472,9.291,01-07-2022
12,Pasto,8.032,8.457,01-07-2022
