No.,Ciudad,Gasolina MC ($/gal),ACPM ($/gal),fecha
1,Bogotá D.C.,15830,9517,24-02-2024
2,Medellín,15757,9537,24-02-2024
3,Cali,15843,9652,24-02-2024
4,Barranquilla,15489,9211,24-02-2024
5,Cartagena,15449,9178,24-02-2024
6,Montería,15699,9428,24-02-2024
7,Bucaramanga,15599,9279,24-02-2024
8,Villavicencio,15930,9617,24-02-2024
9,Pereira,15784,9595,24-02-2024
10,Manizales,15808,9582,24-02-2024
11,Ibagué,15755,9508,24-02-2024
12,Pasto,13573,8516,24-02-2024
13,Cúcuta,13895,7210,24-02-2024
14,Santa Marta,15589,9311,24-02-2024
15,Sincelejo,15649,9378,24-02-2024
16,Tunja,15964,9651,24-02-2024
17,Armenia,15796,9607,24-02-2024
18,Neiva,15854,9606,24-02-2024
