No.,Ciudad,Gasolina MC ($/gal),ACPM ($/gal),fecha
1,Bogotá D.C.,10123,9302,01-12-2022
2,Cartagena,9768,8982,01-12-2022
3,Barranquilla,9808,9014,01-12-2022
4,Medellín,10063,9311,01-12-2022
5,Cali,10158,9419,01-12-2022
6,Pasto,8613,8331,01-12-2022
7,Santa Marta,9908,9114,01-12-2022
8,Montería,10018,9232,01-12-2022
9,Sincelejo,9968,9182,01-12-2022
10,Bucaramanga,9882,9076,01-12-2022
11,Villavicencio,10223,9402,01-12-2022
12,Tunja,10257,9436,01-12-2022
13,Pereira,10103,9336,01-12-2022
14,Manizales,10114,9355,01-12-2022
15,Armenia,10115,9378,01-12-2022
16,Ibagué,10070,9291,01-12-2022
17,Neiva,10158,9380,01-12-2022
18,Cúcuta,8176,7024,01-12-2022
